step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,4,4.0
20.0,-0.04,8,38.0
25.0,-0.34,9,80.0
30.0,-0.42000000000000004,10,129.0
35.0,-0.49,10,179.0
40.0,-0.5,6,182.0
45.0,0.1200000000000001,6,179.0
50.0,-0.25,8,213.0
55.0,-0.6299999999999999,11,266.0
60.0,-0.5500000000000003,11,321.0
65.0,-0.6099999999999999,13,384.0
70.0,-0.6500000000000004,13,449.0
75.0,-0.6699999999999999,15,518.0
80.0,-0.75,15,593.0
85.0,-0.75,17,670.0
90.0,-1.0299999999999994,23,779.0
95.0,-1.1500000000000012,24,895.0
100.0,-1.2199999999999989,25,1018.0
105.0,-1.25,25,1143.0
110.0,-1.290000000000001,27,1274.0
115.0,-1.3499999999999996,27,1409.0
120.0,-1.379999999999999,30,1550.0
125.0,-1.379999999999999,25,1503.0
130.0,0.4299999999999997,22,1407.0
135.0,0.4800000000000004,21,1473.0
140.0,-1.1300000000000008,26,1593.0
145.0,-1.290000000000001,28,1725.0
150.0,-1.379999999999999,28,1865.0
155.0,-1.3999999999999986,31,2009.0
160.0,-1.3999999999999986,26,2020.0
165.0,-0.7100000000000009,27,2089.0
170.0,-0.6900000000000013,30,2226.0
175.0,-1.9699999999999989,30,2376.0
180.0,-1.5,28,2194.0
185.0,3.2699999999999996,26,2135.0
190.0,-0.8300000000000018,31,2223.0
195.0,-1.639999999999997,34,2390.0
200.0,-1.639999999999997,32,2538.0
205.0,-2.1400000000000006,34,2701.0
210.0,-1.6500000000000021,34,2871.0
215.0,-1.6999999999999993,32,2938.0
220.0,-0.259999999999998,25,2913.0
225.0,-0.11000000000000298,30,2975.0
230.0,-0.11000000000000298,32,3113.0
235.0,-1.7099999999999973,34,3282.0
240.0,-1.6900000000000013,34,3452.0
245.0,-1.7000000000000028,30,3583.0
250.0,-1.6599999999999966,30,3701.0
255.0,-1.4399999999999977,30,3851.0
260.0,-2.1099999999999994,32,4005.0
265.0,-1.6700000000000017,34,4174.0
270.0,-1.7700000000000031,36,4353.0
275.0,-1.7999999999999972,36,4533.0
280.0,-1.8500000000000014,38,4720.0
285.0,-1.8999999999999986,38,4910.0
290.0,-1.8999999999999986,34,5025.0
295.0,-1.8800000000000026,40,5208.0
300.0,-1.8799999999999955,36,4835.0
305.0,8.799999999999997,33,3930.0
310.0,8.479999999999997,24,3136.0
315.0,8.479999999999997,16,3168.0
320.0,3.520000000000003,16,3238.0
325.0,-0.7000000000000028,23,3337.0
330.0,-0.9899999999999949,30,3477.0
335.0,-1.4000000000000057,36,3649.0
340.0,-1.7199999999999989,42,3853.0
345.0,-2.039999999999999,42,4063.0
350.0,-2.1000000000000014,38,4178.0
355.0,-1.1499999999999986,35,4232.0
360.0,-0.9799999999999969,35,4371.0
365.0,-2.3999999999999986,37,4553.0
370.0,-1.9500000000000028,41,4752.0
375.0,-2.0900000000000034,45,4965.0
380.0,-2.25,45,5190.0
385.0,-2.259999999999998,46,5417.0
390.0,-2.3299999999999983,47,5651.0
395.0,-2.3500000000000014,47,5886.0
400.0,-2.3500000000000014,41,5977.0
405.0,-1.7800000000000011,42,6129.0
410.0,-1.5499999999999972,42,6335.0
415.0,-2.9399999999999977,44,6554.0
420.0,-2.200000000000003,44,6774.0
425.0,-2.239999999999995,46,7002.0
430.0,-2.3000000000000114,46,7232.0
435.0,-2.3000000000000114,42,7385.0
440.0,-2.4499999999999886,46,7615.0
445.0,-2.3000000000000114,46,7830.0
450.0,-3.069999999999993,48,8064.0
455.0,-2.3799999999999955,46,8290.0
460.0,-3.190000000000012,48,8527.0
465.0,-2.3999999999999915,48,8767.0
470.0,-2.450000000000003,50,9014.0
475.0,-2.450000000000003,46,9210.0
480.0,-2.9200000000000017,46,9440.0
485.0,-2.299999999999997,44,8898.0
490.0,11.780000000000001,36,7673.0
495.0,11.739999999999995,32,7197.0
500.0,11.739999999999995,24,7312.0
505.0,-1.7800000000000011,25,7429.0
510.0,-1.1700000000000017,32,7575.0
515.0,-1.4599999999999937,40,7755.0
520.0,-1.7999999999999972,48,7976.0
525.0,-2.210000000000008,48,8216.0
530.0,-2.3999999999999915,45,8359.0
535.0,-1.5799999999999983,41,8448.0
540.0,-1.25,41,8614.0
545.0,-2.75,42,8816.0
550.0,-2.219999999999999,46,9042.0
555.0,-2.3100000000000023,48,9275.0
560.0,-2.4000000000000057,48,9515.0
565.0,-2.3999999999999915,50,9757.0
570.0,-2.5,50,10007.0
575.0,-2.5,50,10257.0
580.0,-2.5,44,10379.0
585.0,-2.190000000000012,48,10585.0
590.0,-2.069999999999993,49,10812.0
595.0,-3.260000000000005,49,11057.0
600.0,-2.450000000000003,49,11302.0
605.0,-2.450000000000003,48,11531.0
610.0,-3.269999999999996,48,11771.0
615.0,-2.3999999999999915,51,12014.0
620.0,-3.450000000000003,51,12269.0
625.0,-2.549999999999997,50,12513.0
630.0,-3.4200000000000017,50,12763.0
635.0,-2.539999999999992,52,13019.0
640.0,-2.539999999999992,44,11481.0
645.0,14.429999999999993,37,10048.0
650.0,14.409999999999997,26,9780.0
655.0,2.3900000000000006,25,9895.0
660.0,-1.240000000000009,30,10028.0
665.0,-1.6099999999999994,37,10203.0
670.0,-1.9499999999999886,45,10413.0
675.0,-1.9499999999999886,41,9078.0
680.0,12.459999999999994,32,7859.0
