step_time,reward,total_stopped,total_wait_time,total_emission
5.0,,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,0.0,4,8.0,8.0
20.0,-0.08,4,30.0,30.0
25.0,-0.26,5,47.0,47.0
30.0,-0.24999999999999994,6,51.0,51.0
35.0,-0.16000000000000003,7,82.0,82.0
40.0,-0.43999999999999995,10,129.0,129.0
45.0,-0.43999999999999995,5,75.0,75.0
50.0,0.3799999999999999,8,94.0,94.0
55.0,-0.20999999999999996,7,77.0,77.0
60.0,0.5,4,39.0,39.0
65.0,0.030000000000000027,6,61.0,61.0
70.0,0.030000000000000027,3,20.0,20.0
75.0,0.29,4,37.0,37.0
80.0,-0.16999999999999998,7,67.0,67.0
85.0,-0.30000000000000004,5,55.0,55.0
90.0,0.14,11,83.0,83.0
95.0,-0.52,12,139.0,139.0
100.0,-0.5799999999999998,11,145.0,145.0
105.0,0.2899999999999998,6,136.0,136.0
110.0,-0.020000000000000018,7,143.0,143.0
115.0,-0.020000000000000018,7,176.0,176.0
120.0,-0.47,9,216.0,216.0
125.0,-0.43999999999999995,10,254.0,254.0
130.0,-0.48999999999999977,10,296.0,296.0
135.0,-0.5,12,349.0,349.0
140.0,-0.5,6,194.0,194.0
145.0,1.3199999999999998,8,164.0,164.0
150.0,0.30000000000000004,6,181.0,181.0
155.0,-0.27,6,209.0,209.0
160.0,-0.3100000000000003,12,257.0,257.0
165.0,-0.6299999999999999,12,264.0,264.0
170.0,0.29000000000000004,10,266.0,266.0
175.0,-0.2999999999999998,10,296.0,296.0
180.0,-0.2999999999999998,8,115.0,115.0
185.0,1.63,10,161.0,161.0
190.0,-0.48,8,147.0,147.0
195.0,0.5800000000000001,10,132.0,132.0
200.0,-0.4900000000000002,11,184.0,184.0
205.0,-0.4900000000000002,5,105.0,105.0
210.0,0.5700000000000001,6,100.0,100.0
215.0,0.050000000000000044,1,60.0,60.0
220.0,0.77,1,7.0,7.0
225.0,0.13,1,3.0,3.0
230.0,0.1,0,0.0,0.0
235.0,-0.26,8,34.0,34.0
240.0,-0.26,4,39.0,39.0
245.0,-0.16999999999999998,8,73.0,73.0
250.0,-0.38000000000000006,5,73.0,73.0
255.0,0.050000000000000044,6,88.0,88.0
260.0,-0.30000000000000004,7,119.0,119.0
265.0,-0.30000000000000004,3,77.0,77.0
270.0,0.29000000000000004,8,100.0,100.0
275.0,-0.22999999999999998,4,120.0,120.0
280.0,-0.19999999999999996,5,135.0,135.0
285.0,-0.27,6,129.0,129.0
290.0,0.15999999999999992,4,135.0,135.0
295.0,-0.26,6,163.0,163.0
300.0,-0.26,3,141.0,141.0
305.0,0.13000000000000012,9,169.0,169.0
310.0,-0.3400000000000001,10,218.0,218.0
315.0,-0.4999999999999998,12,271.0,271.0
320.0,-0.5500000000000003,8,149.0,149.0
325.0,1.4500000000000002,11,159.0,159.0
330.0,-0.55,12,217.0,217.0
335.0,-0.55,10,158.0,158.0
340.0,0.34999999999999987,12,215.0,215.0
345.0,-0.5699999999999998,8,189.0,189.0
350.0,0.73,6,123.0,123.0
355.0,0.24,8,141.0,141.0
360.0,-0.6300000000000001,10,191.0,191.0
365.0,-0.5899999999999999,14,254.0,254.0
370.0,-0.5899999999999999,6,181.0,181.0
375.0,0.8899999999999999,8,95.0,95.0
380.0,0.45999999999999996,8,90.0,90.0
385.0,0.26,10,82.0,82.0
390.0,-0.3599999999999999,11,137.0,137.0
395.0,-0.3599999999999999,6,130.0,130.0
400.0,-0.15000000000000013,8,156.0,156.0
405.0,-0.26,4,132.0,132.0
