,Episode,Reward
0,1,-6564.70995914956
1,2,-4275.68973569514
2,3,-2772.2369615771854
3,4,-1745.1679634617574
4,5,-6911.769362709616
5,6,-2339.1546158315223
6,7,-394.50476454716045
7,8,-1184.8818550103335
8,9,-678.1202692373073
9,10,-6140.751375004083
10,11,-555.6553508492906
11,12,-538.6252111776206
12,13,-3077.848609547271
13,14,-4057.655683799139
14,15,-2036.9172509752796
15,16,-1924.7602381269114
16,17,-1570.6455576097972
17,18,-2546.9083759872383
18,19,-552.3273356525408
19,20,-428.82866952971955
20,21,-701.6627424053161
21,22,-1692.5597083988598
22,23,-3132.8532788401926
23,24,-2460.11712401199
24,25,-527.6827727995849
25,26,-863.3707426121651
26,27,-5902.5859756627715
27,28,-920.9152168020132
28,29,-2125.8520084834804
29,30,-3573.5257396774377
30,31,-1039.8681886404963
31,32,-418.40114259907216
32,33,-875.7948392883018
33,34,-718.0259040506606
34,35,-574.0382454493488
35,36,-2746.1117260247534
36,37,-2306.3641250769333
37,38,-3158.377913473004
38,39,-3149.3629629925904
39,40,-1684.7927001833957
40,41,-1647.5097232075184
41,42,-682.4541172747967
42,43,-980.0671506178793
43,44,-1203.2683937413224
44,45,-1040.9257838197304
45,46,-1742.2529040326094
46,47,-5401.130952319841
47,48,-809.1335055444239
48,49,-1053.6422671176567
49,50,-3224.2176219072758
50,51,-702.6733129032183
51,52,-445.84004575925957
52,53,-329.71048478653705
53,54,-3097.8556889151037
54,55,-494.39501609727034
55,56,-1111.839727083883
56,57,-1198.0165879546448
57,58,-941.8319472181079
58,59,-2359.1922199130386
59,60,-443.7483767650149
60,61,-921.4243948110018
61,62,-2421.5919527232813
62,63,-497.18060638320907
63,64,-869.8976810845334
64,65,-286.9497994489858
65,66,-852.9649933744525
66,67,-750.8319531013557
67,68,-6032.389694036526
68,69,-1019.2570973929039
69,70,-346.71017306971873
70,71,-930.2149545399835
71,72,-1468.660388879745
72,73,-685.9575985675618
73,74,-764.6953206836519
74,75,-2421.199588860337
75,76,-436.5042524128673
76,77,-2538.5029830325448
77,78,-3325.2549275808387
78,79,-283.85865606703453
79,80,-1500.7139344615305
80,81,-2530.644753236946
81,82,-909.848544226255
82,83,-1418.9529989425084
83,84,-471.7390208300269
84,85,-667.3731687602049
85,86,-893.3548348606469
86,87,-1114.0066646867715
87,88,-748.2595364080357
88,89,-657.5665714300189
89,90,-2159.168633184427
90,91,-2899.675197337484
91,92,-825.9428967746989
92,93,-1193.8253691464838
93,94,-937.6362817864857
94,95,-1027.4797376857362
95,96,-949.738901488287
96,97,-549.3106325007432
97,98,-640.9312054390219
98,99,-410.46467228221775
99,100,-1573.9541581692802
100,100000000001,-635.921626204687
