,state,Actions Rewards
0,"([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (0, 0.0)], 1)",[1.82022714 3.17409033 0.        ]
1,"([(23.0, 24), (19.0, 22.0)], 4, [(23.0, 24), (19.0, 22.0)], 1)",[1.85445507 0.         1.85581636]
2,"([(0, 0.0), (1.0, 4.0)], 4, [(0, 0.0), (1.0, 4.0)], 1)",[2.83500146 1.44815495 0.        ]
3,"([(19.0, 22.0), (0, 5.0)], 4, [(19.0, 22.0), (0, 5.0)], 1)",[-0.00788675  1.15281985 -0.00391623]
4,"([(16.0, 24), (19.0, 22.0)], 4, [(16.0, 24), (19.0, 22.0)], 1)",[ 0.        -0.0056822  0.       ]
5,"([(0, 6.0), (1.0, 4.0)], 4, [(0, 6.0), (1.0, 4.0)], 1)",[ 0.         -0.01924245  0.        ]
6,"([(19.0, 22.0), (0, 9.0)], 4, [(19.0, 22.0), (0, 9.0)], 1)",[ 0.78450778 -0.02091045  0.40386919]
7,"([(11.0, 21.0), (19.0, 22.0)], 4, [(11.0, 21.0), (19.0, 22.0)], 1)",[ 0.          0.         -0.00389647]
8,"([(1.0, 10.0), (1.0, 4.0)], 4, [(1.0, 10.0), (1.0, 4.0)], 1)",[-0.01790364 -0.01790364  0.        ]
9,"([(19.0, 22.0), (2.0, 12.0)], 3, [(19.0, 22.0), (2.0, 12.0)], 1)",[-0.02305259 -0.01255924 -0.01352852]
10,"([(6.0, 15.0), (19.0, 22.0)], 4, [(6.0, 15.0), (19.0, 22.0)], 1)",[-0.0277847  -0.04358551 -0.0090027 ]
11,"([(3.0, 12.0), (1.0, 4.0)], 2, [(3.0, 12.0), (1.0, 4.0)], 1)",[-0.18895439 -0.025      -0.03970178]
12,"([(19.0, 22.0), (5.0, 15.0)], 3, [(19.0, 22.0), (5.0, 15.0)], 1)",[-0.0117428   0.         -0.01077542]
13,"([(3.0, 12.0), (1.0, 4.0)], 0, [(3.0, 12.0), (1.0, 4.0)], 1)",[-4.39149654 -4.5222727  -4.55947001]
14,"([(19.0, 22.0), (9.0, 18.0)], 3, [(19.0, 22.0), (9.0, 18.0)], 1)",[-0.00995709  0.         -0.02127566]
15,"([(3.0, 13.0), (1.0, 4.0)], 0, [(3.0, 13.0), (1.0, 4.0)], 1)",[-0.80367576 -0.74979506 -0.81933626]
16,"([(19.0, 22.0), (13.0, 22.0)], 4, [(19.0, 22.0), (13.0, 22.0)], 1)",[0. 0. 0.]
17,"([(4.0, 13.0), (1.0, 4.0)], 1, [(4.0, 13.0), (1.0, 4.0)], 1)",[-0.0196691   0.         -0.02366068]
18,"([(5.0, 15.0), (1.0, 4.0)], 1, [(5.0, 15.0), (1.0, 4.0)], 1)",[-0.01788338  0.         -0.02329996]
19,"([(7.0, 17.0), (1.0, 4.0)], 2, [(7.0, 17.0), (1.0, 4.0)], 1)",[-0.0163438  -0.01867122  0.        ]
20,"([(9.0, 18.0), (1.0, 4.0)], 2, [(9.0, 18.0), (1.0, 4.0)], 1)",[-0.0168855  0.         0.       ]
21,"([(11.0, 21.0), (1.0, 4.0)], 2, [(11.0, 21.0), (1.0, 4.0)], 1)",[0. 0. 0.]
22,"([(1.0, 4.0), (24.0, 24)], 1, [(1.0, 4.0), (24.0, 24)], 1)",[1.49338095 4.45527203 0.39755468]
23,"([(1.0, 4.0), (22.0, 24)], 2, [(1.0, 4.0), (22.0, 24)], 1)",[-0.03834389 -0.04704538 -0.12852671]
24,"([(1.0, 4.0), (20.0, 24)], 2, [(1.0, 4.0), (20.0, 24)], 1)",[-0.11260099 -0.04536574 -0.05949947]
25,"([(1.0, 4.0), (17.0, 24)], 3, [(1.0, 4.0), (17.0, 24)], 1)",[ 0.         -0.01281939 -0.05502133]
26,"([(1.0, 4.0), (14.0, 23.0)], 3, [(1.0, 4.0), (14.0, 23.0)], 1)",[-0.04757479 -0.02151297 -0.01575248]
27,"([(1.0, 4.0), (10.0, 20.0)], 4, [(1.0, 4.0), (10.0, 20.0)], 1)",[-0.02966812 -0.02398345 -0.02426092]
28,"([(1.0, 4.0), (6.0, 16.0)], 4, [(1.0, 4.0), (6.0, 16.0)], 1)",[-0.00433414 -0.01389943  0.        ]
29,"([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (0, 1.0)], 1)",[1.50117647 0.         0.39984463]
30,"([(18.0, 24), (19.0, 22.0)], 4, [(18.0, 24), (19.0, 22.0)], 1)",[ 1.51402766  0.         -0.00798505]
31,"([(1.0, 4.0), (2.0, 11.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 1)",[0. 0. 0.]
32,"([(19.0, 22.0), (0, 6.0)], 4, [(19.0, 22.0), (0, 6.0)], 1)",[0.         1.15818899 0.39855338]
33,"([(12.0, 21.0), (19.0, 22.0)], 4, [(12.0, 21.0), (19.0, 22.0)], 1)",[-0.00076597 -0.01978893 -0.01898226]
34,"([(19.0, 22.0), (1.0, 10.0)], 4, [(19.0, 22.0), (1.0, 10.0)], 1)",[-0.00277776  0.         -0.00695919]
35,"([(19.0, 22.0), (5.0, 15.0)], 4, [(19.0, 22.0), (5.0, 15.0)], 1)",[ 0.         -0.00631447  0.        ]
36,"([(0, 10.0), (19.0, 22.0)], 4, [(0, 10.0), (19.0, 22.0)], 1)",[0. 0. 0.]
37,"([(19.0, 22.0), (10.0, 20.0)], 4, [(19.0, 22.0), (10.0, 20.0)], 1)",[0. 0. 0.]
38,"([(0, -1.0), (1.0, 4.0)], 2, [(0, -1.0), (1.0, 4.0)], 1)",[1.76454286 5.3384602  0.76060323]
39,"([(0, 1.0), (1.0, 4.0)], 2, [(0, 1.0), (1.0, 4.0)], 1)",[-0.10398216  0.29986382 -0.01692386]
40,"([(0, 3.0), (1.0, 4.0)], 2, [(0, 3.0), (1.0, 4.0)], 1)",[-0.07861908 -0.0983753  -0.04226842]
41,"([(0, 5.0), (1.0, 4.0)], 2, [(0, 5.0), (1.0, 4.0)], 1)",[-0.05905922 -0.02326388 -0.05297486]
42,"([(0, 7.0), (1.0, 4.0)], 2, [(0, 7.0), (1.0, 4.0)], 1)",[-0.03702659 -0.04545784  0.        ]
43,"([(1.0, 4.0), (23.0, 24)], 2, [(1.0, 4.0), (23.0, 24)], 1)",[4.40477722 3.15869505 1.8094016 ]
44,"([(24.0, 24), (19.0, 22.0)], 4, [(24.0, 24), (19.0, 22.0)], 1)",[0.         0.         1.59832399]
45,"([(1.0, 4.0), (21.0, 24)], 2, [(1.0, 4.0), (21.0, 24)], 1)",[-0.04350155 -0.096291   -0.09157452]
46,"([(0, 10.0), (1.0, 4.0)], 3, [(0, 10.0), (1.0, 4.0)], 1)",[ 0.         -0.01322793  0.        ]
47,"([(1.0, 4.0), (18.0, 24)], 3, [(1.0, 4.0), (18.0, 24)], 1)",[-0.02272984 -0.07254048 -0.01324165]
48,"([(3.0, 13.0), (1.0, 4.0)], 3, [(3.0, 13.0), (1.0, 4.0)], 1)",[ 0.         -0.05332007 -0.0213749 ]
49,"([(14.0, 23.0), (19.0, 22.0)], 4, [(14.0, 23.0), (19.0, 22.0)], 1)",[-0.01602086 -0.01981346 -0.01954203]
50,"([(1.0, 4.0), (15.0, 24)], 3, [(1.0, 4.0), (15.0, 24)], 1)",[-0.02524449 -0.0421822  -0.02368431]
51,"([(7.0, 16.0), (1.0, 4.0)], 3, [(7.0, 16.0), (1.0, 4.0)], 1)",[-0.04101183  0.         -0.01078046]
52,"([(11.0, 21.0), (19.0, 22.0)], 2, [(11.0, 21.0), (19.0, 22.0)], 1)",[-0.30367088 -0.3601687  -0.22919067]
53,"([(1.0, 4.0), (11.0, 21.0)], 4, [(1.0, 4.0), (11.0, 21.0)], 1)",[-0.01562178  0.         -0.01180875]
54,"([(10.0, 20.0), (1.0, 4.0)], 4, [(10.0, 20.0), (1.0, 4.0)], 1)",[0. 0. 0.]
55,"([(11.0, 20.0), (19.0, 22.0)], 0, [(11.0, 20.0), (19.0, 22.0)], 1)",[  -4.50904739 -104.47058257   -4.59481339]
56,"([(1.0, 4.0), (7.0, 17.0)], 4, [(1.0, 4.0), (7.0, 17.0)], 1)",[-0.01790413 -0.01148837 -0.00637192]
