,Episode,Reward
0,1,-5583.8258933848265
1,2,-831.2505440401816
2,3,-2655.112304492541
3,4,-406.74654300933213
4,5,-4737.155354656388
5,6,-1067.0555779161216
6,7,-5337.565827166851
7,8,-2571.46524316195
8,9,-4325.429953534492
9,10,-3194.2099628600736
10,11,-5869.210839750489
11,12,-3137.929756972735
12,13,-3133.943903174234
13,14,-2774.5454028069958
14,15,-1807.0127014017828
15,16,-745.4871425332126
16,17,-6098.243336218196
17,18,-1628.279526694345
18,19,-6015.7516373814005
19,20,-4352.735993222614
20,21,-564.6980064616129
21,22,-6384.50399605484
22,23,-6312.99342622349
23,24,-3558.1462366822457
24,25,-3987.895792899575
25,26,-1380.0326857541497
26,27,-2410.8887862482356
27,28,-3361.549130296784
28,29,-5190.247461003801
29,30,-3914.731674910227
30,31,-2497.283703013022
31,32,-3708.680641008551
32,33,-2648.250690435678
33,34,-4159.076251074436
34,35,-1976.1504649895712
35,36,-3543.9784207985936
36,37,-3248.9682386836225
37,38,-2501.4873202288572
38,39,-1754.3060555134168
39,40,-3343.651224892205
40,41,-1176.0189680314004
41,42,-2745.597334052587
42,43,-2033.8199166600452
43,44,-474.3878727965605
44,45,-4816.06451784737
45,46,-533.4117922624933
46,47,-3790.468018661048
47,48,-1250.5212867538748
48,49,-1114.8236801988794
49,50,-4644.76869230005
50,51,-3342.175364990249
51,52,-85.80683465068961
52,53,-4911.009537759057
53,54,-4422.460419851631
54,55,-2771.76389237733
55,56,-2365.012548321625
56,57,-2424.2336188180225
57,58,-3400.7721684181147
58,59,-2288.6440831183886
59,60,-987.0498296742993
60,61,-2117.875552913363
61,62,-2723.634737359581
62,63,-2790.574228110428
63,64,-1500.8570035570542
64,65,-446.8804215434232
65,66,-718.7049336171664
66,67,-542.2078197418942
67,68,-848.3574479522434
68,69,-2266.2993466119588
69,70,-610.1337363660671
70,71,-1518.9774346287138
71,72,-562.8516465428504
72,73,-4179.9212169526045
73,74,-2480.2722925756952
74,75,-597.2583444039024
75,76,-412.03898932687963
76,77,-3459.700856398275
77,78,-520.3073765708239
78,79,-1780.439355086218
79,80,-1357.8967270242263
80,81,-4810.677835040583
81,82,-528.8108093584008
82,83,-431.5252467496646
83,84,-2524.4073239452177
84,85,-1959.1472544349085
85,86,-5271.659554848776
86,87,-4458.310563965654
87,88,-0.6169436889488086
88,89,-4472.432052914734
89,90,-1537.0790197988752
90,91,-927.3539878669204
91,92,-1802.06291936123
92,93,-3880.735720787459
93,94,-2213.4921012298914
94,95,-3412.5437848303873
95,96,-1117.3133615264924
96,97,-3864.644787095587
97,98,-310.730710240214
98,99,-3053.90630719552
99,100,-300.5104617993487
100,101,-517.9542643280175
101,102,-420.8202279874318
102,103,-428.58077708627087
103,104,-2882.1747045173993
104,105,-2829.4193251102333
105,106,-380.26519535914906
106,107,-459.1269188518165
107,108,-903.2013492365054
108,109,-368.0497403983606
109,110,-4207.211885489644
110,111,-3443.2825522321914
111,112,-2759.12915811694
112,113,-509.783209528074
113,114,-1138.2591787915046
114,115,-858.3047514376875
115,116,-3369.235384552147
116,117,-296.59421373593295
117,118,-1324.8331894311807
118,119,-1635.9347038452595
119,120,-336.5037388900864
120,121,-4001.546426137061
121,122,-2274.0632433902965
122,123,-1020.8020427847517
123,124,-428.8004169780081
124,125,-1413.8309264441582
125,126,-464.48482155985295
126,127,-495.4282661255799
127,128,-2524.356973361284
128,129,-1108.8347493046565
129,130,-2563.2956706066566
130,131,-307.94699868540044
131,132,-439.08422937298405
132,133,-242.6314647116326
133,134,-369.10304904017386
134,135,-1344.7521329148688
135,136,-398.0861995692267
136,137,-4020.7859844634477
137,138,-3135.424421675394
138,139,-2860.493439856165
139,140,-445.78119331397124
140,141,-378.32519960232884
141,142,-2182.526345105547
142,143,-259.88942716624325
143,144,-423.102296250404
144,145,-1998.5736234924982
145,146,-881.032598008718
146,147,-1589.9886231709727
147,148,-664.7355020406878
148,149,-295.5393631087513
149,150,-538.9081613690302
150,151,-2460.163909187319
151,152,-306.70210480697006
152,153,-4075.6151018721357
153,154,-1124.5128226374
154,155,-508.4125311468883
155,156,-521.0461806343471
156,157,-686.4424014866013
157,158,-429.6673061121597
158,159,-1692.4463657353656
159,160,-317.0153699100658
160,161,-1258.4991027843575
161,162,-722.633021861785
162,163,-341.6345358592142
163,164,-3499.052338180477
164,165,-397.71857614615004
165,166,-420.84454913561854
166,167,-431.71559319756
167,168,-2295.9395763907332
168,169,-287.2280615144894
169,170,-5646.78134102014
170,171,-333.88785891799716
171,172,-519.6189192620197
172,173,-6057.147860368448
173,174,-491.4299733336405
174,175,-288.6423008068296
175,176,-634.6534743465738
176,177,-780.6992510586107
177,178,-3338.2055134461334
178,179,-398.2414610578961
179,180,-271.69673192581155
180,181,-2733.8037924005844
181,182,-302.9221450701027
182,183,-429.41271873999483
183,184,-589.9077437755329
184,185,-376.9486168099499
185,186,-507.8393632427398
186,187,-428.1403430811902
187,188,-2778.1839698422655
188,189,-2786.89562611123
189,190,-3675.2303551090504
190,191,-5479.558499637537
191,192,-4388.897018077439
192,193,-526.2894460488646
193,194,-474.440175701862
194,195,-4091.3858379141507
195,196,-404.39734291371315
196,197,-2052.615970148322
197,198,-1927.0285919403036
198,199,-321.7008592835742
199,200,-323.18621939908695
200,201,-368.4871356022753
201,202,-307.124439646825
202,203,-334.3436745739103
203,204,-295.39550131458253
204,205,-3168.2945352734932
205,206,-566.951726331226
206,207,-2905.4710191287213
207,208,-1318.1001115605416
208,209,-1230.8398389273023
209,210,-2115.66435086839
210,211,-1232.6080221130314
211,212,-275.05624372686526
212,213,-324.70114313532787
213,214,-1416.3949480955248
214,215,-1424.7588397923632
215,216,-238.65866024370888
216,217,-411.39655440698607
217,218,-518.6078340628172
218,219,-456.8381763703608
219,220,-1841.4618620659824
220,221,-1637.8261698415163
221,222,-921.3393635856698
222,223,-405.25084824919657
223,224,-677.2957580248934
224,225,-297.4906998846806
225,226,-338.6935190458509
226,227,-207.65025264781644
227,228,-324.014070793674
228,229,-2196.834065705456
229,230,-328.4260759259082
230,231,-241.51645547431045
231,232,-1466.210362586377
232,233,-269.5458483046696
233,234,-2366.145072833018
234,235,-483.9612625696861
235,236,-537.8463470970522
236,237,-1542.8968334309768
237,238,-973.8950371445296
238,239,-910.1471915936075
239,240,-1174.6616953542577
240,241,-451.8380454288367
241,242,-476.798695162518
242,243,-330.9044863105503
243,244,-478.889017724566
244,245,-2489.965893273471
245,246,-419.0260154995051
246,247,-467.85548972481735
247,248,-1752.9655332680015
248,249,-1862.5528738989437
249,250,-1132.777545800035
250,251,-3632.807228344546
251,252,-300.46529877716034
252,253,-1906.4399129169726
253,254,-237.15982352011756
254,255,-578.8326633131463
255,256,-279.8771934657934
256,257,-430.8311610961189
257,258,-1007.9772562937452
258,259,-1313.1559978768476
259,260,-1467.856761467776
260,261,-1947.4461721626603
261,262,-829.6421146778956
262,263,-2690.702658821581
263,264,-892.4103519648409
264,265,-508.1107681673117
265,266,-222.7033439770535
266,267,-457.7137803125772
267,268,-282.1044891017684
268,269,-252.2587730537269
269,270,-332.3575724968504
270,271,-1674.0883936511736
271,272,-1653.1766868247034
272,273,-361.0781371227768
273,274,-260.6667427386086
274,275,-3664.761996117642
275,276,-291.01824323026284
276,277,-305.7892531709796
277,278,-209.71359047613703
278,279,-314.20476203564306
279,280,-1854.5462186268928
280,281,-2271.2297564136543
281,282,-417.12871401244297
282,283,-4769.2692128706
283,284,-389.0566419839795
284,285,-4072.0298973862746
285,286,-390.31348267979513
286,287,-393.46757375299126
287,288,-386.67206487143335
288,289,-2993.2985693201745
289,290,-1526.5598352855945
290,291,-1200.6586175329564
291,292,-3153.9669772336943
292,293,-828.5725694327834
293,294,-3115.263830484578
294,295,-918.0283151818043
295,296,-837.5920322194247
296,297,-470.23473362415467
297,298,-263.64809452397395
298,299,-393.23595321099083
299,300,-2949.7528607363893
