,state,Actions Rewards
0,"([(0, 3.0), (1.0, 4.0)], 4, [(5.0, 13.0), (1.0, 4.0)], 2)",[-18.20445442 -18.44105744 -17.52764917]
1,"([(9.0, 17.0), (1.0, 4.0)], 4, [(19.0, 24), (1.0, 4.0)], 2)",[-0.27087497 -0.2694306  -0.26995772]
2,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 1)",[-0.48781453 -3.29518438 -2.93257627]
3,"([(24.0, 24), (19.0, 22.0)], 4, [(14.0, 22.0), (19.0, 22.0)], 2)",[-30.35759216 -16.20469866 -30.10733862]
4,"([(11.0, 19.0), (19.0, 22.0)], 4, [(1.0, 9.0), (19.0, 22.0)], 2)",[-39.11643454 -52.72523036 -30.55902069]
5,"([(19.0, 22.0), (0, 5.0)], 4, [(19.0, 22.0), (7.0, 15.0)], 1)",[ -1.18833858  -8.22920643 -15.97869727]
6,"([(19.0, 22.0), (7.0, 16.0)], 4, [(19.0, 22.0), (17.0, 24)], 1)",[-0.24138914 -0.24654526 -0.25069648]
7,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (8.0, 17.0)], 1)",[-0.91391788 -1.81760551 -2.12688161]
8,"([(1.0, 4.0), (5.0, 14.0)], 4, [(1.0, 4.0), (0, 4.0)], 1)",[-0.2295789  -0.23887385 -0.23986394]
9,"([(19.0, 22.0), (0, 8.0)], 4, [(19.0, 22.0), (10.0, 18.0)], 1)",[-21.23605397 -22.51500394  -3.47498073]
10,"([(19.0, 22.0), (11.0, 20.0)], 4, [(19.0, 22.0), (21.0, 24)], 1)",[0. 0. 0.]
11,"([(0, 4.0), (1.0, 4.0)], 4, [(6.0, 14.0), (1.0, 4.0)], 1)",[-1.39381663 -9.88684008 -9.57034935]
12,"([(6.0, 14.0), (1.0, 4.0)], 4, [(16.0, 24), (1.0, 4.0)], 1)",[-48.09975275  -9.2601998  -31.7739486 ]
13,"([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 21.0), (19.0, 22.0)], 2)",[ -74.16414619 -254.83851532 -270.83360251]
14,"([(12.0, 21.0), (19.0, 22.0)], 4, [(2.0, 11.0), (19.0, 22.0)], 2)",[-46.92245986 -10.8119996  -32.69581845]
15,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (10.0, 18.0)], 1)",[-2.09431239 -2.26673947 -1.43816596]
16,"([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (1.0, 9.0)], 1)",[-0.47116127 -3.64399653 -3.40125609]
17,"([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (5.0, 14.0)], 2)",[-6.54700789 -3.89249049 -5.692943  ]
18,"([(14.0, 23.0), (19.0, 22.0)], 4, [(4.0, 13.0), (19.0, 22.0)], 1)",[-1.62334306 -1.82740741 -3.52463987]
19,"([(19.0, 22.0), (7.0, 15.0)], 4, [(19.0, 22.0), (17.0, 24)], 2)",[-0.27841067 -0.27027447 -0.27949935]
