,state,Actions Rewards
0,"(([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 4), ([(13.0, 22.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1))",[0. 0. 0.]
1,"(([(13.0, 22.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 4))",[0. 0. 0.]
2,"(([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 4.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(1.0, 10.0), (1.0, 4.0)], 2))",[0. 0. 0.]
3,"(([(0, 0.0), (1.0, 4.0)], 4, [(1.0, 10.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 4.0)], 1))",[-0.03534379  0.          0.        ]
4,"(([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2), ([(2.0, 11.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1))",[-0.19660584  0.          0.        ]
5,"(([(2.0, 11.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2))",[0. 0. 0.]
6,"(([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (1.0, 9.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(2.0, 10.0), (1.0, 4.0)], 1))",[-0.04193762  0.          0.        ]
7,"(([(0, 0.0), (1.0, 4.0)], 4, [(2.0, 10.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (1.0, 9.0)], 1))",[-0.05397824  0.          0.        ]
8,"(([(19.0, 22.0), (2.0, 11.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 1), ([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 20.0), (19.0, 22.0)], 2))",[0. 0. 0.]
9,"(([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 20.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (2.0, 11.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 1))",[-0.23125243 -0.33782844 -0.12321298]
10,"(([(19.0, 22.0), (2.0, 11.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 2), ([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 21.0), (19.0, 22.0)], 2))",[ 0.         -0.02666218  0.        ]
11,"(([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 21.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (2.0, 11.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 2))",[-0.03428816  0.          0.        ]
12,"(([(5.0, 13.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (1.0, 9.0)], 2))",[0. 0. 0.]
13,"(([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (1.0, 9.0)], 2), ([(5.0, 13.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 2))",[0. 0. 0.]
14,"(([(0, -1.0), (1.0, 4.0)], 0, [(1.0, 9.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 2))",[-0.00711733  0.          0.        ]
15,"(([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 2), ([(0, -1.0), (1.0, 4.0)], 0, [(1.0, 9.0), (1.0, 4.0)], 1))",[ 0.          0.         -0.01323474]
16,"(([(0, 0.0), (1.0, 4.0)], 1, [(1.0, 10.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (8.0, 16.0)], 3, [(1.0, 4.0), (0, 6.0)], 2))",[-1.37641509e-02 -5.00000000e+01  0.00000000e+00]
17,"(([(1.0, 4.0), (8.0, 16.0)], 3, [(1.0, 4.0), (0, 6.0)], 2), ([(0, 0.0), (1.0, 4.0)], 1, [(1.0, 10.0), (1.0, 4.0)], 1))",[-0.02002688  0.         -0.01082964]
18,"(([(0, 1.0), (1.0, 4.0)], 1, [(2.0, 11.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (6.0, 15.0)], 2, [(1.0, 4.0), (0, 5.0)], 2))",[-10.90297814 -50.         -42.22115469]
