,state,Actions Rewards
0,"([(0, 3.0), (1.0, 4.0)], 4, [(3.0, 11.0), (1.0, 4.0)], 2)",[-0.74763931 -0.74627778 -0.73568879]
1,"([(7.0, 16.0), (1.0, 4.0)], 4, [(15.0, 24), (1.0, 4.0)], 2)",[-0.11212542 -0.11307027 -0.12146787]
2,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 1)",[-0.45218098 -0.81049481 -0.97491896]
3,"([(24.0, 24), (19.0, 22.0)], 4, [(16.0, 24), (19.0, 22.0)], 2)",[-1.07023321 -0.93575472 -1.15195186]
4,"([(12.0, 21.0), (19.0, 22.0)], 4, [(4.0, 13.0), (19.0, 22.0)], 2)",[-0.49385875 -0.48606757 -0.48512087]
5,"([(1.0, 9.0), (19.0, 22.0)], 4, [(0, 1.0), (19.0, 22.0)], 2)",[0. 0. 0.]
6,"([(19.0, 22.0), (0, 5.0)], 4, [(19.0, 22.0), (5.0, 13.0)], 1)",[-0.6723399  -0.67017027 -0.67198776]
7,"([(19.0, 22.0), (7.0, 16.0)], 4, [(19.0, 22.0), (15.0, 24)], 1)",[-0.15160895 -0.1506363  -0.15125385]
8,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (10.0, 19.0)], 1)",[-0.81758287 -0.80050771 -0.77672521]
9,"([(1.0, 4.0), (7.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1)",[-0.15337092 -0.15413973 -0.1552655 ]
10,"([(19.0, 22.0), (0, 8.0)], 4, [(19.0, 22.0), (8.0, 16.0)], 1)",[-0.64181368 -0.63859675 -0.63218988]
11,"([(19.0, 22.0), (11.0, 20.0)], 4, [(19.0, 22.0), (19.0, 24)], 1)",[0. 0. 0.]
12,"([(0, 4.0), (1.0, 4.0)], 4, [(4.0, 12.0), (1.0, 4.0)], 1)",[-0.75989838 -0.8213049  -0.79553183]
13,"([(8.0, 16.0), (1.0, 4.0)], 4, [(16.0, 24), (1.0, 4.0)], 1)",[-0.10926516 -0.10636355 -0.10861921]
14,"([(22.0, 24), (19.0, 22.0)], 4, [(14.0, 23.0), (19.0, 22.0)], 2)",[-1.0374331  -1.21657012 -0.91189015]
15,"([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 2)",[-0.27655367 -0.28300433 -0.27998818]
16,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 20.0)], 1)",[-0.96267519 -0.91032595 -0.91267562]
17,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 1)",[-1.11135398 -0.79736986 -0.84149605]
18,"([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (3.0, 12.0)], 2)",[-1.18104579 -1.92790143 -1.36210264]
19,"([(14.0, 23.0), (19.0, 22.0)], 4, [(6.0, 15.0), (19.0, 22.0)], 1)",[-0.48484586 -0.49337618 -0.48999978]
20,"([(19.0, 22.0), (7.0, 15.0)], 4, [(19.0, 22.0), (15.0, 23.0)], 2)",[-0.18032703 -0.17819436 -0.17590702]
21,"([(1.0, 4.0), (17.0, 24)], 4, [(1.0, 4.0), (9.0, 17.0)], 1)",[-0.71574414 -0.73275302 -0.70752642]
22,"([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 6.0)], 1)",[-0.11581832 -0.11997545 -0.11348018]
23,"([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 4)",[-0.67177044 -0.67458191 -0.69492159]
24,"([(17.0, 24), (19.0, 22.0)], 4, [(9.0, 18.0), (19.0, 22.0)], 1)",[-0.67833165 -0.67884515 -0.67919508]
25,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 4)",[-0.40725869 -0.40847681 -0.40726731]
26,"([(7.0, 15.0), (19.0, 22.0)], 4, [(0, 7.0), (19.0, 22.0)], 1)",[-0.13968214 -0.14118601 -0.13744582]
27,"([(1.0, 4.0), (3.0, 11.0)], 4, [(1.0, 4.0), (0, 3.0)], 4)",[0. 0. 0.]
28,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 23.0)], 2)",[-2.49966827 -1.58709795 -1.84638072]
29,"([(1.0, 4.0), (14.0, 22.0)], 4, [(1.0, 4.0), (6.0, 14.0)], 2)",[-0.48833402 -0.48924159 -0.48962683]
30,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 2)",[-0.23267007 -0.23370874 -0.23444614]
31,"([(1.0, 4.0), (0, 9.0)], 4, [(1.0, 4.0), (0, 1.0)], 2)",[0. 0. 0.]
32,"([(1.0, 4.0), (15.0, 23.0)], 4, [(1.0, 4.0), (7.0, 15.0)], 1)",[-0.62761107 -0.62376301 -0.62559347]
33,"([(1.0, 4.0), (5.0, 14.0)], 4, [(1.0, 4.0), (0, 6.0)], 1)",[-0.09999521 -0.10374944 -0.10094663]
34,"([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 2)",[-0.24768171 -2.22515034 -0.24867366]
35,"([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1)",[-0.57373392 -0.02925221 -0.07073535]
36,"([(0, 7.0), (1.0, 4.0)], 4, [(7.0, 15.0), (1.0, 4.0)], 1)",[-0.31335539 -0.32184371 -0.3176572 ]
37,"([(7.0, 16.0), (1.0, 4.0)], 4, [(15.0, 24), (1.0, 4.0)], 1)",[-0.08036667 -0.08501147 -0.08481611]
38,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (11.0, 20.0)], 1)",[-0.85636825 -0.83032175 -0.8360298 ]
39,"([(0, 8.0), (1.0, 4.0)], 4, [(8.0, 16.0), (1.0, 4.0)], 1)",[-3.12795804 -3.82467609 -0.58740561]
40,"([(1.0, 4.0), (3.0, 11.0)], 4, [(1.0, 4.0), (0, 3.0)], 1)",[0. 0. 0.]
41,"([(9.0, 18.0), (1.0, 4.0)], 4, [(17.0, 24), (1.0, 4.0)], 1)",[-0.07660872 -0.07795464 -0.07879355]
42,"([(15.0, 24), (19.0, 22.0)], 4, [(7.0, 16.0), (19.0, 22.0)], 1)",[-0.67214887 -0.66842397 -0.66795728]
43,"([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 5.0), (19.0, 22.0)], 1)",[-0.0927879  -0.09945547 -0.09383653]
44,"([(19.0, 22.0), (2.0, 10.0)], 4, [(19.0, 22.0), (10.0, 18.0)], 1)",[-0.5976403  -0.59619581 -0.59673045]
45,"([(19.0, 22.0), (14.0, 22.0)], 4, [(19.0, 22.0), (22.0, 24)], 1)",[0. 0. 0.]
46,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 4)",[-0.62049921 -0.61779759 -0.61784667]
47,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 4)",[-0.05176299 -0.08976631 -0.06902076]
48,"([(1.0, 4.0), (1.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 4)",[0. 0. 0.]
49,"([(19.0, 22.0), (0, 7.0)], 4, [(19.0, 22.0), (7.0, 15.0)], 1)",[-0.68042999 -0.6523111  -0.67831355]
50,"([(19.0, 22.0), (12.0, 21.0)], 4, [(19.0, 22.0), (20.0, 24)], 1)",[0. 0. 0.]
51,"([(1.0, 4.0), (10.0, 18.0)], 4, [(1.0, 4.0), (2.0, 10.0)], 1)",[-0.74233475 -0.72586492 -1.13356077]
